cdc-center |127.0.0.1 |2025-04-25 13:37:42.334 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.taskexecutor.TaskExecutorResourceUtils : 281 | The configuration option taskmanager.cpu.cores required for local execution is not set, setting it to the maximal possible value.
cdc-center |127.0.0.1 |2025-04-25 13:37:42.339 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.taskexecutor.TaskExecutorResourceUtils : 281 | The configuration option taskmanager.memory.task.heap.size required for local execution is not set, setting it to the maximal possible value.
cdc-center |127.0.0.1 |2025-04-25 13:37:42.340 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.taskexecutor.TaskExecutorResourceUtils : 281 | The configuration option taskmanager.memory.task.off-heap.size required for local execution is not set, setting it to the maximal possible value.
cdc-center |127.0.0.1 |2025-04-25 13:37:42.341 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.taskexecutor.TaskExecutorResourceUtils : 281 | The configuration option taskmanager.memory.network.min required for local execution is not set, setting it to its default value 64 mb.
cdc-center |127.0.0.1 |2025-04-25 13:37:42.342 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.taskexecutor.TaskExecutorResourceUtils : 281 | The configuration option taskmanager.memory.network.max required for local execution is not set, setting it to its default value 64 mb.
cdc-center |127.0.0.1 |2025-04-25 13:37:42.342 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.taskexecutor.TaskExecutorResourceUtils : 281 | The configuration option taskmanager.memory.managed.size required for local execution is not set, setting it to its default value 128 mb.
cdc-center |127.0.0.1 |2025-04-25 13:37:42.343 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.minicluster.MiniCluster : 269 | Starting Flink Mini Cluster
cdc-center |127.0.0.1 |2025-04-25 13:37:42.346 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.minicluster.MiniCluster : 279 | Starting Metrics Registry
cdc-center |127.0.0.1 |2025-04-25 13:37:42.388 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.metrics.MetricRegistryImpl : 126 | No metrics reporter configured, no metrics will be exposed/reported.
cdc-center |127.0.0.1 |2025-04-25 13:37:42.389 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.minicluster.MiniCluster : 283 | Starting RPC Service(s)
cdc-center |127.0.0.1 |2025-04-25 13:37:42.456 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.clusterframework.BootstrapTools : 265 | Trying to start local actor system
cdc-center |127.0.0.1 |2025-04-25 13:37:43.226 |  INFO | flink-akka.actor.default-dispatcher-3 | akka.event.slf4j.Slf4jLogger$$anonfun$receive$1 : 92 | Slf4jLogger started
cdc-center |127.0.0.1 |2025-04-25 13:37:43.728 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.clusterframework.BootstrapTools : 298 | Actor system started at akka://flink
cdc-center |127.0.0.1 |2025-04-25 13:37:43.747 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.clusterframework.BootstrapTools : 265 | Trying to start local actor system
cdc-center |127.0.0.1 |2025-04-25 13:37:43.762 |  INFO | flink-metrics-2 | akka.event.slf4j.Slf4jLogger$$anonfun$receive$1 : 92 | Slf4jLogger started
cdc-center |127.0.0.1 |2025-04-25 13:37:43.800 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.clusterframework.BootstrapTools : 298 | Actor system started at akka://flink-metrics
cdc-center |127.0.0.1 |2025-04-25 13:37:43.813 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.rpc.akka.AkkaRpcService : 232 | Starting RPC endpoint for org.apache.flink.runtime.metrics.dump.MetricQueryService at akka://flink-metrics/user/rpc/MetricQueryService .
cdc-center |127.0.0.1 |2025-04-25 13:37:43.836 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.minicluster.MiniCluster : 487 | Starting high-availability services
cdc-center |127.0.0.1 |2025-04-25 13:37:43.844 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.blob.BlobServer : 138 | Created BLOB server storage directory /var/folders/pc/s9vgbj397r9f9mbm71rc39y40000gn/T/blobStore-824c61dc-2e8f-41a2-8804-a03315f53748
